FIPS	Name
05069	AR, Jefferson
05071	AR, Johnson
05073	AR, Lafayette
05075	AR, Lawrence
05077	AR, Lee
05079	AR, Lincoln
05081	AR, Little River
05083	AR, Logan
05085	AR, Lonoke
05087	AR, Madison
05089	AR, Marion
05091	AR, Miller
05093	AR, Mississippi
05095	AR, Monroe
05097	AR, Montgomery
05099	AR, Nevada
05101	AR, Newton
05103	AR, Ouachita
05105	AR, Perry
05107	AR, Phillips
05109	AR, Pike
05111	AR, Poinsett
05113	AR, Polk
05115	AR, Pope
05117	AR, Prairie
05119	AR, Pulaski
05121	AR, Randolph
05125	AR, Saline
05127	AR, Scott
05129	AR, Searcy
05131	AR, Sebastian
05133	AR, Sevier
05135	AR, Sharp
05123	AR, St. Francis
05137	AR, Stone
05139	AR, Union
05141	AR, Van Buren
05143	AR, Washington
05145	AR, White
05147	AR, Woodruff
05149	AR, Yell
60000	AS, Eastern
60020	AS, Manu'a
60030	AS, Rose Island
60040	AS, Swains Island
60050	AS, Western
04000	AZ
04001	AZ, Apache
04003	AZ, Cochise
04005	AZ, Coconino
04007	AZ, Gila
04009	AZ, Graham
04011	AZ, Greenlee
04012	AZ, La Paz
04013	AZ, Maricopa
04015	AZ, Mohave
04017	AZ, Navajo
04019	AZ, Pima
04021	AZ, Pinal
04023	AZ, Santa Cruz
04025	AZ, Yavapai
04027	AZ, Yuma
06000	CA
06001	CA, Alameda
06003	CA, Alpine
06005	CA, Amador
06007	CA, Butte
06009	CA, Calaveras
06011	CA, Colusa
06013	CA, Contra Costa
06015	CA, Del Norte
06017	CA, El Dorado
06019	CA, Fresno
06021	CA, Glenn
06023	CA, Humboldt
06025	CA, Imperial
06027	CA, Inyo
06029	CA, Kern
06031	CA, Kings
06033	CA, Lake
06035	CA, Lassen
06037	CA, Los Angeles
06039	CA, Madera
06041	CA, Marin
06043	CA, Mariposa
06045	CA, Mendocino
06047	CA, Merced
06049	CA, Modoc
06051	CA, Mono
06053	CA, Monterey
06055	CA, Napa
06057	CA, Nevada
06059	CA, Orange
06061	CA, Placer
06063	CA, Plumas
06065	CA, Riverside
06067	CA, Sacramento
06069	CA, San Benito
06071	CA, San Bernardino
06073	CA, San Diego
06075	CA, San Francisco
06077	CA, San Joaquin
06079	CA, San Luis Obispo
06081	CA, San Mateo
06083	CA, Santa Barbara
06085	CA, Santa Clara
06087	CA, Santa Cruz
06089	CA, Shasta
06091	CA, Sierra
06093	CA, Siskiyou
06095	CA, Solano
06097	CA, Sonoma
06099	CA, Stanislaus
06101	CA, Sutter
06103	CA, Tehama
06105	CA, Trinity
06107	CA, Tulare
06109	CA, Tuolumne
06111	CA, Ventura
06113	CA, Yolo
06115	CA, Yuba
08000	CO
08001	CO, Adams
08003	CO, Alamosa
08005	CO, Arapahoe
08007	CO, Archuleta
08009	CO, Baca
08011	CO, Bent
08013	CO, Boulder
08015	CO, Chaffee
08017	CO, Cheyenne
08019	CO, Clear Creek
08021	CO, Conejos
08023	CO, Costilla
08025	CO, Crowley
08027	CO, Custer
08029	CO, Delta
08031	CO, Denver
08033	CO, Dolores
08035	CO, Douglas
08037	CO, Eagle
08041	CO, El Paso
08039	CO, Elbert
08043	CO, Fremont
08045	CO, Garfield
08047	CO, Gilpin
08049	CO, Grand
08051	CO, Gunnison
08053	CO, Hinsdale
08055	CO, Huerfano
08057	CO, Jackson
08059	CO, Jefferson
08061	CO, Kiowa
08063	CO, Kit Carson
08067	CO, La Plata
08065	CO, Lake
08069	CO, Larimer
08071	CO, Las Animas
08073	CO, Lincoln
08075	CO, Logan
08077	CO, Mesa
08079	CO, Mineral
08081	CO, Moffat
08083	CO, Montezuma
08085	CO, Montrose
08087	CO, Morgan
08089	CO, Otero
08091	CO, Ouray
08093	CO, Park
08095	CO, Phillips
08097	CO, Pitkin
08099	CO, Prowers
08101	CO, Pueblo
08103	CO, Rio Blanco
08105	CO, Rio Grande
08107	CO, Routt
08109	CO, Saguache
08111	CO, San Juan
08113	CO, San Miguel
08115	CO, Sedgwick
08117	CO, Summit
08119	CO, Teller
08121	CO, Washington
08123	CO, Weld
08125	CO, Yuma
09000	CT
09001	CT, Fairfield
09003	CT, Hartford
09005	CT, Litchfield
09007	CT, Middlesex
09009	CT, New Haven
09011	CT, New London
09013	CT, Tolland
09015	CT, Windham
11000	DC
11001	DC, District of Columbia
10000	DE
10001	DE, Kent
10003	DE, New Castle
10005	DE, Sussex
12000	FL
12001	FL, Alachua
12003	FL, Baker
12005	FL, Bay
12007	FL, Bradford
12009	FL, Brevard
12011	FL, Broward
12013	FL, Calhoun
12015	FL, Charlotte
12017	FL, Citrus
12019	FL, Clay
12021	FL, Collier
12023	FL, Columbia
12025	FL, Dade
12027	FL, De Soto
12029	FL, Dixie
12031	FL, Duval
12033	FL, Escambia
12035	FL, Flagler
12037	FL, Franklin
12039	FL, Gadsden
12041	FL, Gilchrist
12043	FL, Glades
12045	FL, Gulf
12047	FL, Hamilton
12049	FL, Hardee
12051	FL, Hendry
12053	FL, Hernando
12055	FL, Highlands
12057	FL, Hillsborough
12059	FL, Holmes
12061	FL, Indian River
12063	FL, Jackson
12065	FL, Jefferson
12067	FL, Lafayette
12069	FL, Lake
12071	FL, Lee
12073	FL, Leon
12075	FL, Levy
12077	FL, Liberty
12079	FL, Madison
12081	FL, Manatee
12083	FL, Marion
12085	FL, Martin
12087	FL, Monroe
12089	FL, Nassau
12091	FL, Okaloosa
12093	FL, Okeechobee
12095	FL, Orange
12097	FL, Osceola
12099	FL, Palm Beach
12101	FL, Pasco
12103	FL, Pinellas
12105	FL, Polk
12107	FL, Putnam
12113	FL, Santa Rosa
12115	FL, Sarasota
12117	FL, Seminole
12109	FL, St. Johns
12111	FL, St. Lucie
12119	FL, Sumter
12121	FL, Suwannee
12123	FL, Taylor
12125	FL, Union
12127	FL, Volusia
12129	FL, Wakulla
12131	FL, Walton
12133	FL, Washington
64000	FM
64002	FM, Chuuk
64005	FM, Kosrae
64040	FM, Pohnpeit
64060	FM, Yap
13000	GA
13001	GA, Appling
13003	GA, Atkinson
13005	GA, Bacon
13007	GA, Baker
13009	GA, Baldwin
13011	GA, Banks
13013	GA, Barrow
13015	GA, Bartow
13017	GA, Ben Hill
13019	GA, Berrien
13021	GA, Bibb
13023	GA, Bleckley
13025	GA, Brantley
13027	GA, Brooks
13029	GA, Bryan
13031	GA, Bulloch
13033	GA, Burke
13035	GA, Butts
13037	GA, Calhoun
13039	GA, Camden
13043	GA, Candler
13045	GA, Carroll
13047	GA, Catoosa
13049	GA, Charlton
13051	GA, Chatham
13053	GA, Chattahoochee
13055	GA, Chattooga
13057	GA, Cherokee
13059	GA, Clarke
13061	GA, Clay
13063	GA, Clayton
13065	GA, Clinch
13067	GA, Cobb
13069	GA, Coffee
13071	GA, Colquitt
13073	GA, Columbia
13075	GA, Cook
13077	GA, Coweta
13079	GA, Crawford
13081	GA, Crisp
13083	GA, Dade
13085	GA, Dawson
13089	GA, De Kalb
13087	GA, Decatur
13091	GA, Dodge
13093	GA, Dooly
13095	GA, Dougherty
13097	GA, Douglas
13099	GA, Early
13101	GA, Echols
13103	GA, Effingham
13105	GA, Elbert
13107	GA, Emanuel
13109	GA, Evans
13111	GA, Fannin
13113	GA, Fayette
13115	GA, Floyd
13117	GA, Forsyth
13119	GA, Franklin
13121	GA, Fulton
13123	GA, Gilmer
13125	GA, Glascock
13127	GA, Glynn
13129	GA, Gordon
13131	GA, Grady
13133	GA, Greene
13135	GA, Gwinnett
13137	GA, Habersham
13139	GA, Hall
13141	GA, Hancock
13143	GA, Haralson
13145	GA, Harris
13147	GA, Hart
13149	GA, Heard
13151	GA, Henry
13153	GA, Houston
13155	GA, Irwin
13157	GA, Jackson
13159	GA, Jasper
13161	GA, Jeff Davis
13163	GA, Jefferson
13165	GA, Jenkins
13167	GA, Johnson
13169	GA, Jones
13171	GA, Lamar
13173	GA, Lanier
13175	GA, Laurens
13177	GA, Lee
13179	GA, Liberty
13181	GA, Lincoln
13183	GA, Long
13185	GA, Lowndes
13187	GA, Lumpkin
13193	GA, Macon
13195	GA, Madison
13197	GA, Marion
13189	GA, McDuffie
13191	GA, McIntosh
13199	GA, Meriwether
13201	GA, Miller
13205	GA, Mitchell
13207	GA, Monroe
13209	GA, Montgomery
13211	GA, Morgan
13213	GA, Murray
13215	GA, Muscogee
13217	GA, Newton
13219	GA, Oconee
13221	GA, Oglethorpe
13223	GA, Paulding
13225	GA, Peach
13227	GA, Pickens
13229	GA, Pierce
13231	GA, Pike
13233	GA, Polk
13235	GA, Pulaski
13237	GA, Putnam
13239	GA, Quitman
13241	GA, Rabun
13243	GA, Randolph
13245	GA, Richmond
13247	GA, Rockdale
13249	GA, Schley
13251	GA, Screven
13253	GA, Seminole
13255	GA, Spalding
13257	GA, Stephens
13259	GA, Stewart
13261	GA, Sumter
13263	GA, Talbot
13265	GA, Taliaferro
13267	GA, Tattnall
13269	GA, Taylor
13271	GA, Telfair
13273	GA, Terrell
13275	GA, Thomas
13277	GA, Tift
13279	GA, Toombs
13281	GA, Towns
13283	GA, Treutlen
13285	GA, Troup
13287	GA, Turner
13289	GA, Twiggs
13291	GA, Union
13293	GA, Upson
13295	GA, Walker
13297	GA, Walton
13299	GA, Ware
13301	GA, Warren
13303	GA, Washington
13305	GA, Wayne
13307	GA, Webster
13309	GA, Wheeler
13311	GA, White
13313	GA, Whitfield
13315	GA, Wilcox
13317	GA, Wilkes
13319	GA, Wilkinson
13321	GA, Worth
66000	GU
66010	GU, Guam
15000	HI
15001	HI, Hawaii
15003	HI, Honolulu
15005	HI, Kalawao
15007	HI, Kauai
15009	HI, Maui
19000	IA
19001	IA, Adair
19003	IA, Adams
19005	IA, Allamakee
19007	IA, Appanoose
19009	IA, Audubon
19011	IA, Benton
19013	IA, Black Hawk
19015	IA, Boone
19017	IA, Bremer
19019	IA, Buchanan
19021	IA, Buena Vista
19023	IA, Butler
19025	IA, Calhoun
19027	IA, Carroll
19029	IA, Cass
19031	IA, Cedar
19033	IA, Cerro Gordo
19035	IA, Cherokee
19037	IA, Chickasaw
19039	IA, Clarke
19041	IA, Clay
19043	IA, Clayton
19045	IA, Clinton
19047	IA, Crawford
19049	IA, Dallas
19051	IA, Davis
19053	IA, Decatur
19055	IA, Delaware
19057	IA, Des Moines
19059	IA, Dickinson
19061	IA, Dubuque
19063	IA, Emmet
19065	IA, Fayette
19067	IA, Floyd
19069	IA, Franklin
19071	IA, Fremont
19073	IA, Greene
19075	IA, Grundy
19077	IA, Guthrie
19079	IA, Hamilton
19081	IA, Hancock
19083	IA, Hardin
19085	IA, Harrison
19087	IA, Henry
19089	IA, Howard
19091	IA, Humboldt
19093	IA, Ida
19095	IA, Iowa
19097	IA, Jackson
19099	IA, Jasper
19101	IA, Jefferson
19103	IA, Johnson
19105	IA, Jones
19107	IA, Keokuk
19109	IA, Kossuth
19111	IA, Lee
19113	IA, Linn
19115	IA, Louisa
19117	IA, Lucas
19119	IA, Lyon
19121	IA, Madison
19123	IA, Mahaska
19125	IA, Marion
19127	IA, Marshall
19129	IA, Mills
19131	IA, Mitchell
19133	IA, Monona
19135	IA, Monroe
19137	IA, Montgomery
19139	IA, Muscatine
19141	IA, O'Brien
19143	IA, Osceola
19145	IA, Page
19147	IA, Palo Alto
19149	IA, Plymouth
19151	IA, Pocahontas
19153	IA, Polk
19155	IA, Pottawattamie
19157	IA, Poweshiek
19159	IA, Ringgold
19161	IA, Sac
19163	IA, Scott
19165	IA, Shelby
19167	IA, Sioux
19169	IA, Story
19171	IA, Tama
19173	IA, Taylor
19175	IA, Union
19177	IA, Van Buren
19179	IA, Wapello
19181	IA, Warren
19183	IA, Washington
19185	IA, Wayne
19187	IA, Webster
19189	IA, Winnebago
19191	IA, Winneshiek
19193	IA, Woodbury
19195	IA, Worth
19197	IA, Wright
16000	ID
16001	ID, Ada
16003	ID, Adams
16005	ID, Bannock
16007	ID, Bear Lake
16009	ID, Benewah
16011	ID, Bingham
16013	ID, Blaine
16015	ID, Boise
16017	ID, Bonner
16019	ID, Bonneville
16021	ID, Boundary
16023	ID, Butte
16025	ID, Camas
16027	ID, Canyon
16029	ID, Caribou
16031	ID, Cassia
16033	ID, Clark
16035	ID, Clearwater
16037	ID, Custer
16039	ID, Elmore
16041	ID, Franklin
16043	ID, Fremont
16045	ID, Gem
16047	ID, Gooding
16049	ID, Idaho
16051	ID, Jefferson
16053	ID, Jerome
16055	ID, Kootenai
16057	ID, Latah
16059	ID, Lemhi
16061	ID, Lewis
16063	ID, Lincoln
16065	ID, Madison
16067	ID, Minidoka
16069	ID, Nez Perce
16071	ID, Oneida
16073	ID, Owyhee
16075	ID, Payette
16077	ID, Power
16079	ID, Shoshone
16081	ID, Teton
16083	ID, Twin Falls
16085	ID, Valley
16087	ID, Washington
17000	IL
17001	IL, Adams
17003	IL, Alexander
17005	IL, Bond
17007	IL, Boone
17009	IL, Brown
17011	IL, Bureau
17013	IL, Calhoun
17015	IL, Carroll
17017	IL, Cass
17019	IL, Champaign
17021	IL, Christian
17023	IL, Clark
17025	IL, Clay
17027	IL, Clinton
17029	IL, Coles
17031	IL, Cook
17033	IL, Crawford
17035	IL, Cumberland
17039	IL, De Witt
17037	IL, DeKalb
17041	IL, Douglas
17043	IL, DuPage
17045	IL, Edgar
17047	IL, Edwards
17049	IL, Effingham
17051	IL, Fayette
17053	IL, Ford
17055	IL, Franklin
17057	IL, Fulton
17059	IL, Gallatin
17061	IL, Greene
17063	IL, Grundy
17065	IL, Hamilton
17067	IL, Hancock
17069	IL, Hardin
17071	IL, Henderson
17073	IL, Henry
17075	IL, Iroquois
17077	IL, Jackson
17079	IL, Jasper
17081	IL, Jefferson
17083	IL, Jersey
17085	IL, Jo Daviess
17087	IL, Johnson
17089	IL, Kane
17091	IL, Kankakee
17093	IL, Kendall
17095	IL, Knox
17099	IL, La Salle
17097	IL, Lake
17101	IL, Lawrence
17103	IL, Lee
17105	IL, Livingston
17107	IL, Logan
17115	IL, Macon
17117	IL, Macoupin
17119	IL, Madison
17121	IL, Marion
17123	IL, Marshall
17125	IL, Mason
17127	IL, Massac
17109	IL, McDonough
17111	IL, McHenry
17113	IL, McLean
17129	IL, Menard
17131	IL, Mercer
17133	IL, Monroe
17135	IL, Montgomery
17137	IL, Morgan
17139	IL, Moultrie
17141	IL, Ogle
17143	IL, Peoria
17145	IL, Perry
17147	IL, Piatt
17149	IL, Pike
17151	IL, Pope
17153	IL, Pulaski
17155	IL, Putnam
17157	IL, Randolph
17159	IL, Richland
17161	IL, Rock Island
17165	IL, Saline
17167	IL, Sangamon
17169	IL, Schuyler
17171	IL, Scott
17173	IL, Shelby
17163	IL, St. Clair
17175	IL, Stark
17177	IL, Stephenson
17179	IL, Tazewell
17181	IL, Union
17183	IL, Vermilion
17185	IL, Wabash
17187	IL, Warren
17189	IL, Washington
17191	IL, Wayne
17193	IL, White
17195	IL, Whiteside
17197	IL, Will
17199	IL, Williamson
17201	IL, Winnebago
17203	IL, Woodford
18000	IN
18001	IN, Adams
18003	IN, Allen
18005	IN, Bartholomew
18007	IN, Benton
18009	IN, Blackford
18011	IN, Boone
18013	IN, Brown
18015	IN, Carroll
18017	IN, Cass
18019	IN, Clark
18021	IN, Clay
18023	IN, Clinton
18025	IN, Crawford
18027	IN, Daviess
18033	IN, De Kalb
18029	IN, Dearborn
18031	IN, Decatur
18035	IN, Delaware
18037	IN, Dubois
18039	IN, Elkhart
18041	IN, Fayette
18043	IN, Floyd
18045	IN, Fountain
18047	IN, Franklin
18049	IN, Fulton
18051	IN, Gibson
18053	IN, Grant
18055	IN, Greene
18057	IN, Hamilton
18059	IN, Hancock
18061	IN, Harrison
18063	IN, Hendricks
18065	IN, Henry
18067	IN, Howard
18069	IN, Huntington
18071	IN, Jackson
18073	IN, Jasper
18075	IN, Jay
18077	IN, Jefferson
18079	IN, Jennings
18081	IN, Johnson
18083	IN, Knox
18085	IN, Kosciusko
18091	IN, La Porte
18087	IN, Lagrange
18089	IN, Lake
18093	IN, Lawrence
18095	IN, Madison
18097	IN, Marion
18099	IN, Marshall
18101	IN, Martin
18103	IN, Miami
18105	IN, Monroe
18107	IN, Montgomery
18109	IN, Morgan
18111	IN, Newton
18113	IN, Noble
18115	IN, Ohio
18117	IN, Orange
18119	IN, Owen
18121	IN, Parke
18123	IN, Perry
18125	IN, Pike
18127	IN, Porter
18129	IN, Posey
18131	IN, Pulaski
18133	IN, Putnam
18135	IN, Randolph
18137	IN, Ripley
18139	IN, Rush
18143	IN, Scott
18145	IN, Shelby
18147	IN, Spencer
18141	IN, St. Joseph
18149	IN, Starke
18151	IN, Steuben
18153	IN, Sullivan
18155	IN, Switzerland
18157	IN, Tippecanoe
18159	IN, Tipton
18161	IN, Union
18163	IN, Vanderburgh
18165	IN, Vermillion
18167	IN, Vigo
18169	IN, Wabash
18171	IN, Warren
18173	IN, Warrick
18175	IN, Washington
18177	IN, Wayne
18179	IN, Wells
18181	IN, White
18183	IN, Whitley
20000	KS
20001	KS, Allen
20003	KS, Anderson
20005	KS, Atchison
20007	KS, Barber
20009	KS, Barton
20011	KS, Bourbon
20013	KS, Brown
20015	KS, Butler
20017	KS, Chase
20019	KS, Chautauqua
20021	KS, Cherokee
20023	KS, Cheyenne
20025	KS, Clark
20027	KS, Clay
20029	KS, Cloud
20031	KS, Coffey
20033	KS, Comanche
20035	KS, Cowley
20037	KS, Crawford
20039	KS, Decatur
20041	KS, Dickinson
20043	KS, Doniphan
20045	KS, Douglas
20047	KS, Edwards
20049	KS, Elk
20051	KS, Ellis
20053	KS, Ellsworth
20055	KS, Finney
20057	KS, Ford
20059	KS, Franklin
20061	KS, Geary
20063	KS, Gove
20065	KS, Graham
20067	KS, Grant
20069	KS, Gray
20071	KS, Greeley
20073	KS, Greenwood
20075	KS, Hamilton
20077	KS, Harper
20079	KS, Harvey
20081	KS, Haskell
20083	KS, Hodgeman
20085	KS, Jackson
20087	KS, Jefferson
20089	KS, Jewell
20091	KS, Johnson
20093	KS, Kearny
20095	KS, Kingman
20097	KS, Kiowa
20099	KS, Labette
20101	KS, Lane
20103	KS, Leavenworth
20105	KS, Lincoln
20107	KS, Linn
20109	KS, Logan
20111	KS, Lyon
20115	KS, Marion
20117	KS, Marshall
20113	KS, McPherson
20119	KS, Meade
20121	KS, Miami
20123	KS, Mitchell
20125	KS, Montgomery
20127	KS, Morris
20129	KS, Morton
20131	KS, Nemaha
20133	KS, Neosho
20135	KS, Ness
20137	KS, Norton
20139	KS, Osage
20141	KS, Osborne
20143	KS, Ottawa
20145	KS, Pawnee
20147	KS, Phillips
20149	KS, Pottawatomie
20151	KS, Pratt
20153	KS, Rawlins
20155	KS, Reno
20157	KS, Republic
20159	KS, Rice
20161	KS, Riley
20163	KS, Rooks
20165	KS, Rush
20167	KS, Russell
20169	KS, Saline
20171	KS, Scott
20173	KS, Sedgwick
20175	KS, Seward
20177	KS, Shawnee
20179	KS, Sheridan
20181	KS, Sherman
20183	KS, Smith
20185	KS, Stafford
20187	KS, Stanton
20189	KS, Stevens
20191	KS, Sumner
20193	KS, Thomas
20195	KS, Trego
20197	KS, Wabaunsee
20199	KS, Wallace
20201	KS, Washington
20203	KS, Wichita
20205	KS, Wilson
20207	KS, Woodson
20209	KS, Wyandotte
21000	KY
21001	KY, Adair
21003	KY, Allen
21005	KY, Anderson
21007	KY, Ballard
21009	KY, Barren
21011	KY, Bath
21013	KY, Bell
21015	KY, Boone
21017	KY, Bourbon
21019	KY, Boyd
21021	KY, Boyle
21023	KY, Bracken
21025	KY, Breathitt
21027	KY, Breckinridge
21029	KY, Bullitt
21031	KY, Butler
21033	KY, Caldwell
21035	KY, Calloway
21037	KY, Campbell
21039	KY, Carlisle
21041	KY, Carroll
21043	KY, Carter
21045	KY, Casey
21047	KY, Christian
21049	KY, Clark
21051	KY, Clay
21053	KY, Clinton
21055	KY, Crittenden
21057	KY, Cumberland
21059	KY, Daviess
21061	KY, Edmonson
21063	KY, Elliott
21065	KY, Estill
21067	KY, Fayette
21069	KY, Fleming
21071	KY, Floyd
21073	KY, Franklin
21075	KY, Fulton
21077	KY, Gallatin
21079	KY, Garrard
21081	KY, Grant
21083	KY, Graves
21085	KY, Grayson
21087	KY, Green
21089	KY, Greenup
21091	KY, Hancock
21093	KY, Hardin
21095	KY, Harlan
21097	KY, Harrison
21099	KY, Hart
21101	KY, Henderson
21103	KY, Henry
21105	KY, Hickman
21107	KY, Hopkins
21109	KY, Jackson
21111	KY, Jefferson
21113	KY, Jessamine
21115	KY, Johnson
21117	KY, Kenton
21119	KY, Knott
21121	KY, Knox
21123	KY, Larue
21125	KY, Laurel
21127	KY, Lawrence
21129	KY, Lee
21131	KY, Leslie
21133	KY, Letcher
21135	KY, Lewis
21137	KY, Lincoln
21139	KY, Livingston
21141	KY, Logan
21143	KY, Lyon
21151	KY, Madison
21153	KY, Magoffin
21155	KY, Marion
21157	KY, Marshall
21159	KY, Martin
21161	KY, Mason
21145	KY, McCracken
21147	KY, McCreary
21149	KY, McLean
21163	KY, Meade
21165	KY, Menifee
21167	KY, Mercer
21169	KY, Metcalfe
21171	KY, Monroe
21173	KY, Montgomery
21175	KY, Morgan
21177	KY, Muhlenberg
21179	KY, Nelson
21181	KY, Nicholas
21183	KY, Ohio
21185	KY, Oldham
21187	KY, Owen
21189	KY, Owsley
21191	KY, Pendleton
21193	KY, Perry
21195	KY, Pike
21197	KY, Powell
21199	KY, Pulaski
21201	KY, Robertson
21203	KY, Rockcastle
21205	KY, Rowan
21207	KY, Russell
21209	KY, Scott
21211	KY, Shelby
21213	KY, Simpson
21215	KY, Spencer
21217	KY, Taylor
21219	KY, Todd
21221	KY, Trigg
21223	KY, Trimble
21225	KY, Union
21227	KY, Warren
21229	KY, Washington
21231	KY, Wayne
21233	KY, Webster
21235	KY, Whitley
21237	KY, Wolfe
21239	KY, Woodford
22000	LA
22001	LA, Acadia
22003	LA, Allen
22005	LA, Ascension
22007	LA, Assumption
22009	LA, Avoyelles
22011	LA, Beauregard
22013	LA, Bienville
22015	LA, Bossier
22017	LA, Caddo
22019	LA, Calcasieu
22021	LA, Caldwell
22023	LA, Cameron
22025	LA, Catahoula
22027	LA, Claiborne
22029	LA, Concordia
22031	LA, De Soto
22033	LA, East Baton Rouge
22035	LA, East Carroll
22037	LA, East Feliciana
22039	LA, Evangeline
22041	LA, Franklin
22043	LA, Grant
22045	LA, Iberia
22047	LA, Iberville
22049	LA, Jackson
22051	LA, Jefferson
22053	LA, Jefferson Davis
22059	LA, La Salle
22055	LA, Lafayette
22057	LA, Lafourche
22061	LA, Lincoln
22063	LA, Livingston
22065	LA, Madison
22067	LA, Morehouse
22069	LA, Natchitoches
22071	LA, Orleans
22073	LA, Ouachita
22075	LA, Plaquemines
22077	LA, Pointe Coupee
22079	LA, Rapides
22081	LA, Red River
22083	LA, Richland
22085	LA, Sabine
22087	LA, St. Bernard
22089	LA, St. Charles
22091	LA, St. Helena
22093	LA, St. James
22095	LA, St. John the Baptist
22097	LA, St. Landry
22099	LA, St. Martin
22101	LA, St. Mary
22103	LA, St. Tammany
22105	LA, Tangipahoa
22107	LA, Tensas
22109	LA, Terrebonne
22111	LA, Union
22113	LA, Vermilion
22115	LA, Vernon
22117	LA, Washington
22119	LA, Webster
22121	LA, West Baton Rouge
22123	LA, West Carroll
22125	LA, West Feliciana
22127	LA, Winn
25000	MA
25001	MA, Barnstable
25003	MA, Berkshire
25005	MA, Bristol
25007	MA, Dukes
25009	MA, Essex
25011	MA, Franklin
25013	MA, Hampden
25015	MA, Hampshire
25017	MA, Middlesex
25019	MA, Nantucket
25021	MA, Norfolk
25023	MA, Plymouth
25025	MA, Suffolk
25027	MA, Worcester
24000	MD
24001	MD, Allegany
24003	MD, Anne Arundel
24005	MD, Baltimore
24510	MD, Baltimore city
24009	MD, Calvert
24011	MD, Caroline
24013	MD, Carroll
24015	MD, Cecil
24017	MD, Charles
24019	MD, Dorchester
24021	MD, Frederick
24023	MD, Garrett
24025	MD, Harford
24027	MD, Howard
24029	MD, Kent
24031	MD, Montgomery
24033	MD, Prince George's
24035	MD, Queen Anne's
24039	MD, Somerset
24037	MD, St. Mary's
24041	MD, Talbot
24043	MD, Washington
24045	MD, Wicomico
24047	MD, Worcester
23000	ME
23001	ME, Androscoggin
23003	ME, Aroostook
23005	ME, Cumberland
23007	ME, Franklin
23009	ME, Hancock
23011	ME, Kennebec
23013	ME, Knox
23015	ME, Lincoln
23017	ME, Oxford
23019	ME, Penobscot
23021	ME, Piscataquis
23023	ME, Sagadahoc
23025	ME, Somerset
23027	ME, Waldo
23029	ME, Washington
23031	ME, York
68000	MH
68007	MH, Ailinginae
68010	MH, Ailinglaplap
